,data
532,23.01
533,23.07
534,22.24
535,22.73
536,22.76
537,22.77
538,22.79
539,22.84
540,23.06
541,22.85
542,23.07
543,22.9
544,22.73
545,22.6
546,22.8
547,22.5
548,22.83
549,22.77
550,22.59
551,22.59
552,23.23
553,23.58
554,23.16
555,22.66
556,22.88
557,22.92
558,22.63
559,22.85
560,22.9
561,22.91
562,23.0
563,23.09
564,23.31
565,23.47
566,23.47
567,23.08
568,22.85
569,22.98
570,22.77
571,22.64
572,22.47
573,22.59
574,22.52
575,22.52
576,22.75
577,22.86
578,23.0
579,22.83
580,22.61
581,22.76
582,22.91
583,22.79
584,22.62
585,22.63
586,22.84
587,23.04
588,23.24
589,23.47
590,23.29
591,23.0
592,22.67
593,22.85
594,22.67
595,22.79
596,22.59
597,23.03
598,22.74
599,22.87
600,23.29
601,23.57
602,23.37
603,23.18
604,22.92
605,22.59
606,22.68
607,22.56
608,22.72
609,22.6
610,22.76
611,22.94
612,23.21
613,23.39
614,23.34
615,23.18
616,22.87
617,23.09
618,22.94
619,22.93
620,22.81
621,22.75
622,22.9
623,23.07
624,23.15
625,23.43
626,23.45
627,23.2
628,22.79
629,22.58
630,22.97
631,22.89
632,22.76
633,22.91
634,22.69
635,22.54
636,22.75
637,23.04
638,23.17
639,23.09
640,22.56
641,22.54
642,22.62
643,22.69
644,22.54
645,22.52
646,22.75
647,22.97
648,23.05
649,23.21
650,23.36
651,23.09
652,22.78
653,22.62
654,22.61
655,22.48
656,22.64
657,22.54
658,22.58
659,22.8
660,23.0
661,23.17
662,23.2
663,23.15
664,22.91
665,22.69
666,22.84
667,22.34
668,22.42
669,22.45
670,22.64
671,22.77
672,22.93
673,22.94
674,23.04
675,22.86
676,22.61
677,22.57
678,22.57
679,22.43
680,22.43
681,22.83
682,22.87
683,23.07
684,23.36
685,23.49
686,23.33
687,22.94
688,22.73
689,22.7
690,22.78
691,22.59
692,22.77
693,22.81
694,22.6
695,22.69
696,23.12
697,23.38
698,23.27
699,22.97
700,22.76
701,23.02
702,23.02
703,22.89
704,22.88
705,22.79
706,22.59
707,22.91
708,23.13
709,23.37
710,23.22
711,22.92
712,22.66
713,22.63
714,22.7
715,22.88
716,23.14
717,22.95
718,22.72
719,22.89
720,23.01
721,22.96
722,23.16
723,22.83
724,22.61
725,22.68
726,22.73
727,22.69
728,22.99
729,22.71
730,22.78
731,22.98
732,23.26
733,23.34
734,23.08
735,22.75
736,22.76
737,22.66
738,22.74
739,22.65
740,22.75
741,22.55
742,22.68
743,23.08
744,23.17
745,23.36
746,23.3
747,23.28
748,23.21
749,23.06
750,23.02
751,22.95
752,23.0
753,22.94
754,22.82
755,22.83
756,23.33
757,23.64
758,23.53
759,23.32
760,23.25
761,23.12
762,23.27
763,22.96
764,23.19
765,22.99
766,22.68
767,22.48
768,22.98
769,23.48
770,23.18
771,23.11
772,22.77
773,22.75
774,22.67
775,22.75
776,23.0
777,22.85
778,22.85
779,22.87
780,23.21
781,23.36
782,23.18
783,22.82
784,22.85
785,22.89
786,22.83
787,22.98
788,22.88
789,22.74
790,22.73
791,22.85
792,23.15
793,23.45
794,23.31
795,22.97
796,22.74
797,22.74
798,22.86
799,23.11
800,23.13
801,22.89
802,22.9
803,22.88
804,23.16
805,23.15
806,23.2
807,22.9
808,22.74
809,22.76
810,22.74
811,22.6
812,22.78
813,22.78
814,22.8
815,22.86
816,23.03
817,23.26
818,23.4
819,23.27
820,22.9
821,22.84
822,23.09
823,22.85
824,22.87
825,22.74
826,22.78
827,22.74
828,22.94
829,23.34
830,23.26
831,23.05
832,22.86
833,22.87
834,22.78
835,22.62
836,22.8
837,22.82
838,22.82
839,22.8
840,23.33
841,23.38
842,23.57
843,23.11
844,22.76
845,22.88
846,22.99
847,22.99
848,22.96
849,23.0
850,22.82
851,22.97
852,23.34
853,23.3
854,23.29
855,23.22
856,23.09
857,22.77
858,22.84
859,23.03
860,23.11
861,23.02
862,22.93
863,23.08
864,23.26
865,23.51
866,23.63
867,23.38
868,22.95
869,22.77
870,22.71
871,22.77
872,23.04
873,22.88
874,22.89
875,22.91
876,23.09
877,23.27
878,23.33
879,23.05
880,22.96
881,22.89
882,22.87
883,23.0
884,22.83
885,22.75
886,22.77
887,22.9
888,23.19
889,23.49
890,23.5
891,23.19
892,23.06
893,23.01
894,22.85
895,22.79
896,22.96
897,22.88
898,22.97
899,22.94
900,23.2
901,23.42
902,23.24
903,23.06
904,22.87
905,22.85
906,22.71
907,22.68
908,22.65
909,22.93
910,22.91
911,22.82
912,23.12
913,23.34
914,23.24
915,22.92
916,23.0
917,22.9
918,22.94
919,23.1
920,23.07
921,22.9
922,22.71
923,22.92
924,23.28
925,23.46
926,23.38
927,23.07
928,23.01
929,22.78
930,22.73
931,22.97
932,22.64
933,22.81
934,22.96
935,22.86
936,23.01
937,23.27
938,23.27
939,23.15
940,22.89
941,22.78
942,22.84
943,22.93
944,22.86
945,22.92
946,22.82
947,23.1
948,23.48
949,23.47
950,23.54
951,23.14
952,22.8
953,22.83
954,22.82
955,22.84
956,23.07
957,22.62
958,22.73
959,22.76
960,23.18
961,23.31
962,23.23
963,23.2
964,22.85
965,22.79
966,22.8
967,23.03
968,23.07
969,22.83
970,22.97
971,23.01
972,23.21
973,23.42
974,23.25
975,23.05
976,23.05
977,22.75
978,22.85
979,22.99
980,23.03
981,22.97
982,23.08
983,23.14
984,23.29
985,23.37
986,23.42
987,23.09
988,22.73
989,22.87
990,22.88
991,22.87
992,22.74
993,22.78
994,22.85
995,22.95
996,23.24
997,23.29
998,23.3
999,23.09
1000,22.88
1001,22.68
1002,22.7
1003,22.92
1004,22.96
1005,22.63
1006,22.91
1007,23.08
1008,23.38
1009,23.64
1010,23.72
1011,23.49
1012,22.86
1013,22.76
1014,22.84
1015,22.95
1016,23.1
1017,22.83
1018,23.14
1019,23.04
1020,23.43
1021,23.62
1022,23.53
1023,23.34
1024,23.08
1025,22.83
1026,23.0
1027,22.9
1028,22.99
1029,23.03
1030,22.83
1031,23.1
1032,23.2
1033,23.39
1034,23.19
1035,23.03
1036,22.99
1037,22.86
1038,22.93
1039,22.86
1040,23.04
1041,23.02
1042,23.06
1043,23.05
1044,23.22
1045,23.46
1046,23.36
1047,22.93
1048,22.8
1049,22.82
1050,22.93
1051,22.88
1052,22.6
1053,22.76
1054,22.87
1055,23.14
1056,23.51
1057,23.46
1058,23.63
1059,23.27
1060,22.88
1061,22.92
1062,22.84
1063,22.6
1064,22.86
1065,22.97
1066,23.0
1067,23.05
1068,23.21
1069,23.39
1070,23.5
1071,23.3
1072,23.08
1073,22.98
1074,22.75
1075,22.78
1076,22.8
1077,22.83
1078,22.7
1079,23.0
1080,23.38
1081,23.59
1082,23.48
1083,23.26
1084,22.97
1085,23.14
1086,23.13
1087,23.11
1088,23.07
1089,23.17
1090,23.08
1091,23.12
1092,23.29
1093,22.8
1094,22.96
1095,22.79
1096,22.76
1097,22.62
1098,22.76
1099,22.69
1100,22.7
1101,22.85
1102,22.69
1103,22.13
1104,23.27
1105,23.33
1106,23.3
1107,23.32
1108,22.99
1109,23.07
1110,23.02
1111,23.27
1112,22.8
1113,22.99
1114,22.77
1115,22.92
1116,23.25
1117,23.44
1118,23.11
1119,22.84
1120,22.91
1121,22.81
1122,22.92
1123,22.51
1124,22.68
1125,22.88
1126,22.67
1127,22.8
1128,23.19
1129,23.49
1130,23.29
1131,23.06
1132,22.9
1133,22.82
1134,22.8
1135,22.6
1136,22.79
1137,22.91
1138,22.97
1139,22.99
1140,23.15
1141,23.3
1142,23.46
1143,23.28
1144,22.96
1145,22.75
1146,22.92
1147,22.62
1148,22.58
1149,22.75
1150,22.72
1151,22.95
1152,23.06
1153,23.22
1154,23.15
1155,23.03
1156,22.89
1157,23.01
1158,23.0
1159,22.71
1160,22.67
1161,22.51
1162,22.98
1163,23.0
1164,23.36
1165,23.55
1166,23.53
1167,22.99
1168,22.9
1169,22.97
1170,22.81
1171,22.87
1172,22.75
1173,22.81
1174,22.83
1175,22.94
1176,23.02
1177,23.24
1178,23.22
1179,23.02
1180,22.96
1181,22.98
1182,22.88
1183,22.44
1184,22.67
1185,22.6
1186,22.76
1187,22.74
1188,22.89
1189,23.24
1190,23.01
1191,22.9
1192,22.76
1193,22.65
1194,22.59
1195,22.68
1196,22.72
1197,22.82
1198,22.74
1199,22.99
1200,23.09
1201,23.35
1202,23.45
1203,23.12
1204,22.67
1205,22.63
1206,22.68
1207,22.58
1208,22.78
1209,22.69
1210,22.96
1211,22.89
1212,23.28
1213,23.54
1214,23.46
1215,23.08
1216,22.91
1217,22.87
1218,22.69
1219,22.46
1220,22.34
1221,22.46
1222,22.76
1223,23.05
1224,23.31
1225,23.54
1226,23.46
1227,23.24
1228,23.02
1229,22.93
1230,22.96
1231,22.52
1232,22.45
1233,22.83
1234,23.01
1235,23.12
1236,23.12
1237,23.23
1238,23.21
1239,23.03
1240,22.72
1241,22.98
1242,22.8
1243,22.65
1244,22.64
1245,22.95
1246,22.85
1247,22.85
1248,23.11
1249,23.32
1250,23.16
1251,23.02
1252,22.86
1253,22.91
1254,22.81
1255,22.69
1256,22.91
1257,22.93
1258,22.87
1259,22.98
