Day,Dark_red,red,orange,yellow
1985-03-31,0.0006580065359477125,0.005465849673202614,0.013616339869281046,0.11773660130718955
1985-04-07,0.0008209150326797386,0.00595,0.02870702614379085,0.13917075163398693
1985-04-14,0.0007988562091503267,0.005777124183006536,0.030497712418300654,0.12187009803921568
1985-04-21,0.0010836601307189543,0.005438888888888889,0.014851797385620915,0.11904656862745099
1985-04-28,0.0005565359477124183,0.0015312091503267974,0.009654248366013071,0.10929771241830065
1985-05-05,0.0007897058823529412,0.0026027777777777776,0.01096388888888889,0.12435098039215686
1985-05-12,0.0003473856209150327,0.000577124183006536,0.010986601307189543,0.0960217320261438
1985-05-19,8.104575163398692e-05,0.0003629084967320261,0.011462745098039216,0.08723545751633988
1985-05-26,1.6339869281045753e-05,0.0005611111111111111,0.0061867647058823525,0.07244444444444445
1985-06-02,1.3071895424836602e-06,0.00035375816993464055,0.016441666666666667,0.07033709150326797
1985-06-09,0.0,0.00021748366013071895,0.00415359477124183,0.07216013071895425
1985-06-16,0.0,0.0,0.0060359477124183,0.06477843137254902
1985-06-23,0.0,0.0,0.0023362745098039215,0.05692320261437909
1985-06-30,0.0,1.781045751633987e-05,0.0005062091503267974,0.05315
1985-07-07,0.0,6.045751633986928e-06,0.00042630718954248366,0.04998937908496732
1985-07-14,0.0,0.0,0.0021977124183006538,0.0657093137254902
1985-07-21,0.0,0.0,0.0071186274509803926,0.07055849673202615
1985-07-28,0.0,0.0,0.007390032679738562,0.0704452614379085
1985-08-04,0.0,3.0392156862745097e-05,0.01570980392156863,0.08533316993464052
1985-08-11,0.0,0.002641339869281046,0.016056209150326798,0.0798985294117647
1985-08-18,0.00024101307189542483,0.0031691176470588236,0.015815686274509803,0.07612728758169934
1985-08-25,0.0023573529411764706,0.004337091503267974,0.01073202614379085,0.06818774509803921
1985-09-01,0.004102777777777778,0.004308169934640523,0.01430016339869281,0.08300980392156863
1985-09-08,0.004099183006535947,0.0036854575163398694,0.01965326797385621,0.09665179738562092
1985-09-15,0.0026741830065359477,0.0017065359477124182,0.03393529411764706,0.09997434640522876
1985-09-22,0.0007815359477124183,0.00022401960784313726,0.022316176470588235,0.09352794117647059
1985-09-29,0.00019558823529411764,0.00012026143790849673,0.011713235294117648,0.06934575163398693
1985-10-06,0.0,0.00016029411764705882,0.004915196078431373,0.059983496732026145
1985-10-13,0.0,0.0,0.0006718954248366013,0.05311339869281046
1985-10-20,0.0,0.0,0.005340686274509804,0.06404967320261439
1985-10-27,0.0,0.0,0.002252124183006536,0.07757875816993465
1985-11-03,0.0,0.0,0.004570098039215686,0.08001911764705882
1985-11-10,0.0,0.0,0.0076,0.07590866013071895
1985-11-17,0.0,0.0,0.006277614379084967,0.07896617647058823
1985-11-24,0.0,0.0,0.007644607843137255,0.080909477124183
1985-12-01,0.0,0.0,0.011139869281045751,0.08896437908496732
1985-12-08,0.0,8.006535947712418e-06,0.012976470588235294,0.0961687908496732
1985-12-15,0.0,4.281045751633987e-05,0.02333235294117647,0.10398088235294117
1985-12-22,0.0,0.0004895424836601308,0.039419934640522875,0.09664656862745098
1985-12-29,3.4313725490196077e-06,0.0017501633986928104,0.031949183006535944,0.1188547385620915
1986-01-05,7.516339869281045e-05,0.004425326797385621,0.04175294117647059,0.1213936274509804
1986-01-12,0.00010637254901960784,0.0032745098039215687,0.04950326797385621,0.11432369281045751
1986-01-19,0.0006333333333333333,0.009074836601307189,0.06853839869281046,0.09765571895424836
1986-01-26,0.001438562091503268,0.011289705882352941,0.05662516339869281,0.11670866013071896
1986-02-02,0.0007454248366013072,0.004100326797385621,0.0382983660130719,0.15192728758169935
1986-02-09,0.0012302287581699347,0.005515032679738562,0.040216176470588234,0.1676375816993464
1986-02-16,0.0014161764705882354,0.005609803921568628,0.03441013071895425,0.15713251633986927
1986-02-23,0.0016583333333333333,0.00908921568627451,0.03801388888888889,0.13534673202614378
1986-03-02,0.00190718954248366,0.01006029411764706,0.031169771241830065,0.1740341503267974
1986-03-09,0.0017196078431372548,0.00895,0.023662581699346406,0.17640996732026143
1986-03-16,0.0010838235294117647,0.005115849673202615,0.012773202614379085,0.143290522875817
1986-03-23,0.0013263071895424836,0.0045712418300653595,0.020226797385620915,0.16434901960784315
1986-03-30,0.0014941176470588235,0.0038348039215686273,0.016434640522875816,0.14791813725490197
1986-04-06,0.0004895424836601308,0.000996078431372549,0.006933006535947713,0.1249359477124183
1986-04-13,5.7516339869281044e-05,0.00018888888888888888,0.008972385620915032,0.0864187908496732
1986-04-20,3.758169934640523e-05,0.00012124183006535948,0.011626143790849672,0.08133398692810458
1986-04-27,1.0294117647058824e-05,9.444444444444444e-05,0.004874346405228758,0.08668202614379085
1986-05-04,0.0,7.679738562091504e-06,0.014854411764705882,0.09404428104575163
1986-05-11,0.0,5.555555555555556e-06,0.014970751633986928,0.06896732026143791
1986-05-18,4.068627450980392e-05,0.0003065359477124183,0.0037511437908496733,0.06864460784313725
1986-05-25,0.0,0.0,0.01060343137254902,0.08946421568627451
1986-06-01,0.0,1.4869281045751634e-05,0.018895261437908498,0.07775375816993464
1986-06-08,0.0,0.00033349673202614377,0.019879901960784315,0.06867058823529412
1986-06-15,0.0,0.0010428104575163398,0.017357516339869282,0.069690522875817
1986-06-22,0.0,0.0007947712418300654,0.003619281045751634,0.08057892156862745
1986-06-29,0.0,3.2516339869281046e-05,0.008995588235294118,0.09036633986928104
1986-07-06,0.0,0.0,0.0030372549019607844,0.07956617647058824
1986-07-13,0.0,1.5032679738562091e-05,0.00810686274509804,0.07806356209150327
