Date,Temp
Jul-2009,29.41
Aug-2009,29.86
Sep-2009,29.53
Oct-2009,28.94
Nov-2009,28.8
Dec-2009,28.49
Jan-2010,28.62
Feb-2010,28.8
Mar-2010,28.68
Apr-2010,28.45
May-2010,28.52
Jun-2010,29.01
Jul-2010,29.42
Aug-2010,29.89
Sep-2010,29.87
Oct-2010,29.26
Nov-2010,28.63
Dec-2010,28.61
Jan-2011,28.85
Feb-2011,28.78
Mar-2011,28.58
Apr-2011,28.48
May-2011,28.74
Jun-2011,29.09
Jul-2011,29.54
Aug-2011,30.04
Sep-2011,29.86
Oct-2011,29.45
Nov-2011,29.14
Dec-2011,28.67
Jan-2012,28.74
Feb-2012,28.45
Mar-2012,28.72
Apr-2012,28.7
May-2012,28.61
Jun-2012,29.12
Jul-2012,29.56
Aug-2012,29.97
Sep-2012,29.85
Oct-2012,29.34
Nov-2012,28.91
Dec-2012,28.5
Jan-2013,28.69
Feb-2013,28.45
Mar-2013,28.8
Apr-2013,28.64
May-2013,28.49
Jun-2013,28.73
Jul-2013,29.41
Aug-2013,29.67
Sep-2013,29.85
Oct-2013,29.22
Nov-2013,29.07
Dec-2013,28.73
Jan-2014,28.81
Feb-2014,28.78
Mar-2014,28.51
Apr-2014,28.68
May-2014,28.43
Jun-2014,29.09
Jul-2014,29.27
Aug-2014,29.59
Sep-2014,29.63
Oct-2014,29.17
Nov-2014,28.85
Dec-2014,28.52
Jan-2015,28.62
Feb-2015,28.47
Mar-2015,28.52
Apr-2015,28.51
May-2015,28.59
Jun-2015,28.85
Jul-2015,29.25
Aug-2015,29.62
Sep-2015,29.55
Oct-2015,29.11
Nov-2015,28.82
Dec-2015,28.57
Jan-2016,28.54
Feb-2016,28.31
Mar-2016,28.13
Apr-2016,28.34
May-2016,28.5
Jun-2016,28.97
Jul-2016,29.33
Aug-2016,29.81
Sep-2016,29.83
Oct-2016,29.33
Nov-2016,28.8
Dec-2016,28.78
Jan-2017,28.66
Feb-2017,28.69
Mar-2017,28.61
Apr-2017,28.61
May-2017,28.8
Jun-2017,29.05
Jul-2017,29.33
Aug-2017,29.78
Sep-2017,29.69
Oct-2017,29.3
Nov-2017,28.92
Dec-2017,28.49
Jan-2018,28.47
Feb-2018,28.91
Mar-2018,28.87
Apr-2018,28.68
May-2018,28.8
Jun-2018,29.18
Jul-2018,29.55
Aug-2018,29.86
Sep-2018,29.73
Oct-2018,29.4
Nov-2018,28.99
Dec-2018,28.85
Jan-2019,28.88
Feb-2019,28.98
Mar-2019,28.83
Apr-2019,28.6
May-2019,28.7
Jun-2019,29.01
Jul-2019,29.31
Aug-2019,29.71
Sep-2019,29.59
Oct-2019,29.2
Nov-2019,28.75
Dec-2019,28.71
Jan-2020,28.61
Feb-2020,28.56
Mar-2020,28.77
Apr-2020,28.61
May-2020,28.61
Jun-2020,28.99
Jul-2020,29.53
Aug-2020,29.74
Sep-2020,29.69
Oct-2020,29.51
Nov-2020,29.1
Dec-2020,28.5
