Date,Temp
Jul-2009,23.08
Aug-2009,23.09
Sep-2009,22.84
Oct-2009,22.87
Nov-2009,22.68
Dec-2009,22.72
Jan-2010,23.12
Feb-2010,23.31
Mar-2010,23.2
Apr-2010,23.0
May-2010,22.87
Jun-2010,22.71
Jul-2010,22.79
Aug-2010,22.72
Sep-2010,23.14
Oct-2010,22.86
Nov-2010,22.85
Dec-2010,22.81
Jan-2011,23.3
Feb-2011,23.51
Mar-2011,23.38
Apr-2011,23.17
May-2011,22.9
Jun-2011,23.01
Jul-2011,22.82
Aug-2011,22.72
Sep-2011,22.72
Oct-2011,22.77
Nov-2011,22.91
Dec-2011,22.98
Jan-2012,23.27
Feb-2012,23.51
Mar-2012,23.41
Apr-2012,23.15
May-2012,22.94
Jun-2012,22.94
Jul-2012,23.04
Aug-2012,22.75
Sep-2012,22.66
Oct-2012,22.7
Nov-2012,22.71
Dec-2012,22.81
Jan-2013,23.14
Feb-2013,23.39
Mar-2013,23.35
Apr-2013,23.26
May-2013,23.03
Jun-2013,23.05
Jul-2013,23.07
Aug-2013,22.92
Sep-2013,23.06
Oct-2013,22.85
Nov-2013,22.88
Dec-2013,22.97
Jan-2014,23.32
Feb-2014,23.41
Mar-2014,23.43
Apr-2014,23.26
May-2014,23.14
Jun-2014,23.19
Jul-2014,23.06
Aug-2014,22.75
Sep-2014,23.0
Oct-2014,23.2
Nov-2014,22.78
Dec-2014,22.82
Jan-2015,23.11
Feb-2015,23.35
Mar-2015,23.44
Apr-2015,23.27
May-2015,22.96
Jun-2015,23.12
Jul-2015,23.03
Aug-2015,22.83
Sep-2015,23.01
Oct-2015,23.04
Nov-2015,22.99
Dec-2015,23.0
Jan-2016,23.37
Feb-2016,23.38
Mar-2016,23.22
Apr-2016,22.93
May-2016,22.93
Jun-2016,22.99
Jul-2016,23.0
Aug-2016,23.11
Sep-2016,23.02
Oct-2016,23.14
Nov-2016,23.04
Dec-2016,23.09
Jan-2017,23.44
Feb-2017,23.72
Mar-2017,23.67
Apr-2017,23.41
May-2017,23.13
Jun-2017,23.16
Jul-2017,23.06
Aug-2017,22.97
Sep-2017,23.13
Oct-2017,23.04
Nov-2017,22.87
Dec-2017,22.99
Jan-2018,23.21
Feb-2018,23.51
Mar-2018,23.52
Apr-2018,23.2
May-2018,23.08
Jun-2018,23.13
Jul-2018,23.01
Aug-2018,23.01
Sep-2018,23.04
Oct-2018,23.14
Nov-2018,22.91
Dec-2018,22.89
Jan-2019,23.18
Feb-2019,23.58
Mar-2019,23.47
Apr-2019,23.32
May-2019,23.11
Jun-2019,23.13
Jul-2019,23.17
Aug-2019,23.3
Sep-2019,23.21
Oct-2019,23.19
Nov-2019,23.0
Dec-2019,22.98
Jan-2020,23.33
Feb-2020,23.52
Mar-2020,23.42
Apr-2020,23.27
May-2020,22.81
Jun-2020,23.03
Jul-2020,23.22
Aug-2020,23.14
Sep-2020,22.9
Oct-2020,22.84
Nov-2020,23.05
Dec-2020,23.06
